VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	Sample
128	yellow	SET	497	-0.024061	-0.0038688	0.041506	0.71894	BIP_2018
129	black	SET	262	-0.063663	-0.0076779	0.055059	0.8762	EPILEPSY_2018
130	blue	SET	1879	-0.019811	-0.0060956	0.022416	0.81159	EPILEPSY_2018
131	brown	SET	672	0.0078662	0.0015014	0.034823	0.41064	EPILEPSY_2018
132	cyan	SET	169	0.045924	0.0044601	0.069011	0.25289	EPILEPSY_2018
133	darkgreen	SET	80	-0.014261	-0.00095533	0.10512	0.55396	EPILEPSY_2018
134	darkgrey	SET	76	-0.070822	-0.0046247	0.10886	0.74234	EPILEPSY_2018
135	darkorange	SET	66	0.17049	0.010378	0.12762	0.090795	EPILEPSY_2018
136	darkred	SET	94	0.011154	0.00080963	0.088802	0.45002	EPILEPSY_2018
137	darkturquoise	SET	84	-0.012283	-0.00084305	0.096512	0.55064	EPILEPSY_2018
138	green	SET	437	-0.0076291	-0.0011823	0.043079	0.57028	EPILEPSY_2018
139	greenyellow	SET	183	0.17842	0.018024	0.065262	0.0031343	EPILEPSY_2018
140	grey60	SET	108	0.067008	0.0052114	0.082602	0.20863	EPILEPSY_2018
141	lightcyan	SET	153	0.029404	0.0027184	0.074602	0.34674	EPILEPSY_2018
142	lightgreen	SET	108	-0.1084	-0.0084303	0.086606	0.89463	EPILEPSY_2018
143	lightyellow	SET	102	0.12483	0.0094363	0.082142	0.064307	EPILEPSY_2018
144	magenta	SET	207	-0.0053503	-0.00057445	0.064573	0.53302	EPILEPSY_2018
145	midnightblue	SET	165	-0.035898	-0.0034452	0.071908	0.69118	EPILEPSY_2018
146	orange	SET	77	0.12515	0.0082254	0.10209	0.11013	EPILEPSY_2018
147	paleturquoise	SET	43	-0.063586	-0.0031261	0.13647	0.67936	EPILEPSY_2018
148	pink	SET	203	-0.1028	-0.010931	0.05994	0.95682	EPILEPSY_2018
149	purple	SET	202	0.10573	0.011216	0.062314	0.044883	EPILEPSY_2018
150	red	SET	319	-0.081053	-0.010769	0.051469	0.94234	EPILEPSY_2018
151	royalblue	SET	95	-0.095691	-0.0069824	0.10393	0.8214	EPILEPSY_2018
152	saddlebrown	SET	48	0.02615	0.0013581	0.1339	0.42258	EPILEPSY_2018
153	salmon	SET	173	-0.015828	-0.0015551	0.070813	0.58843	EPILEPSY_2018
154	skyblue	SET	53	0.14502	0.0079132	0.13293	0.13765	EPILEPSY_2018
155	steelblue	SET	49	0.16258	0.008531	0.15451	0.14635	EPILEPSY_2018
156	tan	SET	184	0.02661	0.0026954	0.066772	0.34513	EPILEPSY_2018
157	turquoise	SET	3224	-0.023386	-0.0090168	0.017556	0.90857	EPILEPSY_2018
158	violet	SET	45	0.042308	0.0021277	0.13955	0.38089	EPILEPSY_2018
159	white	SET	63	-0.18265	-0.010863	0.10841	0.95397	EPILEPSY_2018
160	yellow	SET	471	0.11409	0.018339	0.041229	0.00283	EPILEPSY_2018
161	black	SET	276	0.0013776	0.00016589	0.051588	0.48935	MDD_2018
162	blue	SET	1947	-0.018225	-0.0055594	0.020535	0.81258	MDD_2018
163	brown	SET	699	-0.016592	-0.0031433	0.031954	0.69821	MDD_2018
164	cyan	SET	183	0.075696	0.0074415	0.064986	0.12206	MDD_2018
165	darkgreen	SET	85	0.14962	0.010051	0.092622	0.053124	MDD_2018
166	darkgrey	SET	85	-0.17175	-0.011538	0.093163	0.96737	MDD_2018
167	darkorange	SET	67	0.064212	0.0038315	0.11235	0.28383	MDD_2018
168	darkred	SET	97	-0.09964	-0.0071479	0.085457	0.87818	MDD_2018
169	darkturquoise	SET	86	0.044649	0.0030168	0.097066	0.32277	MDD_2018
170	green	SET	460	-0.00016315	-2.5239e-05	0.039077	0.50167	MDD_2018
171	greenyellow	SET	198	0.014561	0.0014884	0.059793	0.4038	MDD_2018
172	grey60	SET	112	0.027309	0.0021043	0.08051	0.36723	MDD_2018
173	lightcyan	SET	162	0.027173	0.0025148	0.064153	0.33595	MDD_2018
174	lightgreen	SET	108	-0.12695	-0.0096071	0.086236	0.9295	MDD_2018
175	lightyellow	SET	102	-0.02645	-0.0019455	0.083038	0.62496	MDD_2018
176	magenta	SET	214	-0.0071852	-0.00076321	0.059304	0.54822	MDD_2018
177	midnightblue	SET	166	0.08217	0.007697	0.068489	0.11513	MDD_2018
178	orange	SET	79	-0.14343	-0.0092899	0.089314	0.94584	MDD_2018
179	paleturquoise	SET	44	0.27453	0.013283	0.13144	0.018377	MDD_2018
180	pink	SET	213	0.0526	0.0055742	0.056163	0.1745	MDD_2018
181	purple	SET	206	0.020008	0.0020856	0.060237	0.36989	MDD_2018
182	red	SET	332	0.0013717	0.0001809	0.047172	0.4884	MDD_2018
183	royalblue	SET	104	0.028136	0.0020896	0.087402	0.37376	MDD_2018
184	saddlebrown	SET	48	-0.04382	-0.0022142	0.12468	0.63738	MDD_2018
185	salmon	SET	182	-0.061683	-0.0060475	0.06148	0.84214	MDD_2018
186	skyblue	SET	55	0.17692	0.0095677	0.11234	0.057653	MDD_2018
187	steelblue	SET	51	-0.10352	-0.0053917	0.11832	0.80919	MDD_2018
188	tan	SET	192	0.023932	0.0024092	0.059749	0.34438	MDD_2018
