GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
87	GO:0072377	0.00294505469747608	707.04347826087	0.0029471357524406	1	2	blood coagulation, common pathway	THBD	0.0381391868036374
88	GO:1902618	0.00294505469747608	707.04347826087	0.0029471357524406	1	2	cellular response to fluoride	COL1A1	0.0381391868036374
89	GO:1905430	0.00294505469747608	707.04347826087	0.0029471357524406	1	2	cellular response to glycine	FYN	0.0381391868036374
90	GO:0060537	0.00294637494620375	7.71386861313869	0.611530668631424	4	415	muscle tissue development	ALDH1A2;COL3A1;ELN;FZD7	0.0381391868036374
91	GO:0071356	0.00309581965027999	11.5909090909091	0.29618714312028	3	201	cellular response to tumor necrosis factor	COL1A1;TRAF3;VCAM1	0.0396332955228153
92	GO:0042060	0.00321009438310613	7.52589073634204	0.626266347393627	4	425	wound healing	COL3A1;FN1;FZD7;THBD	0.040649564742594
93	GO:0010812	0.00327102249298467	26.3100649350649	0.0854669368207773	2	58	negative regulation of cell-substrate adhesion	COL1A1;FZD7	0.0406870645165929
94	GO:0001568	0.00330649501661934	5.8073908174692	1.04623319211641	5	710	blood vessel development	ALDH1A2;COL1A1;COL3A1;FN1;FYN	0.0406870645165929
95	GO:0042098	0.00331782929534449	11.301900070373	0.303554982501381	3	206	T cell proliferation	FYN;IGFBP2;VCAM1	0.0406870645165929
96	GO:0008347	0.00349626479136451	25.3996865203762	0.0884140725732179	2	60	glial cell migration	APCDD1;COL3A1	0.0424286300202047
97	GO:0042221	0.00368560571924807	3.32526595744681	5.55829802910297	12	3772	response to chemical	ALDH1A2;COL1A1;COL3A1;FYN;FZD7;IGFBP2;SLC22A6;SLC22A8;SMOX;THBD;TRAF3;VCAM1	0.0442652645662268
98	GO:0009612	0.00388999184525751	10.663122923588	0.321237797016025	3	218	response to mechanical stimulus	COL1A1;FYN;IGFBP2	0.0457685549453404
99	GO:0001944	0.00395011415991875	5.55961331901181	1.09044022840302	5	740	vasculature development	ALDH1A2;COL1A1;COL3A1;FN1;FYN	0.0457685549453404
100	GO:0071715	0.0039679176390381	23.7551319648094	0.0943083440780991	2	64	icosanoid transport	SLC22A6;SLC22A8	0.0457685549453404
101	GO:0072348	0.0039679176390381	23.7551319648094	0.0943083440780991	2	64	sulfur compound transport	SLC13A4;SLC6A13	0.0457685549453404
102	GO:0034612	0.00409328731539237	10.4657534246575	0.327132068520906	3	222	response to tumor necrosis factor	COL1A1;TRAF3;VCAM1	0.0463319794192651
103	GO:0048705	0.00424995160089586	10.3223938223938	0.331552772149567	3	225	skeletal system morphogenesis	COL1A1;COL3A1;SERPINH1	0.0463319794192651
104	GO:0009628	0.00440868382343783	4.61735159817352	1.62239823171855	6	1101	response to abiotic stimulus	COL1A1;COL3A1;FYN;IGFBP2;THBD;VCAM1	0.0463319794192651
105	GO:0001705	0.00441446327514028	353.5	0.0044207036286609	1	3	ectoderm formation	FZD7	0.0463319794192651
106	GO:0007181	0.00441446327514028	353.5	0.0044207036286609	1	3	transforming growth factor beta receptor complex assembly	FMOD	0.0463319794192651
107	GO:0010730	0.00441446327514028	353.5	0.0044207036286609	1	3	negative regulation of hydrogen peroxide biosynthetic process	FYN	0.0463319794192651
108	GO:0150102	0.00441446327514028	353.5	0.0044207036286609	1	3	negative regulation of monocyte activation	FN1	0.0463319794192651
109	GO:1904235	0.00441446327514028	353.5	0.0044207036286609	1	3	regulation of substrate-dependent cell migration, cell attachment to substrate	FN1	0.0463319794192651
110	GO:1904237	0.00441446327514028	353.5	0.0044207036286609	1	3	positive regulation of substrate-dependent cell migration, cell attachment to substrate	FN1	0.0463319794192651
111	GO:1905429	0.00441446327514028	353.5	0.0044207036286609	1	3	response to glycine	FYN	0.0463319794192651
