Gene	ModuleColor	kWithin	ModuleName
SARS2	black	8.27056530518986	AdhdM1
SCARF1	black	7.58845019335667	AdhdM1
SDHAF2	black	15.5233175820075	AdhdM1
SDHB	black	5.39334213547416	AdhdM1
SELENOS	black	3.40459127561904	AdhdM1
SERP1	black	21.676747805869	AdhdM1
SH3BP5L	black	8.66072317287238	AdhdM1
SH3GL1	black	7.05081640395382	AdhdM1
SLC16A4	black	20.5038138087566	AdhdM1
SLC22A7	black	2.38586570445117	AdhdM1
SLC24A3	black	9.8545713327801	AdhdM1
SLC25A4	black	34.859511898643	AdhdM1
SLC38A2	black	12.8550636104245	AdhdM1
SLC40A1	black	21.7826676284346	AdhdM1
SLC5A5	black	12.7325642104612	AdhdM1
SLC7A11	black	10.7221865315947	AdhdM1
SLCO1A2	black	22.5474955357107	AdhdM1
SLCO1C1	black	22.1020247170972	AdhdM1
SMAD6	black	18.4723358235048	AdhdM1
SMPDL3A	black	10.8547894270803	AdhdM1
SNAP29	black	3.71920171301688	AdhdM1
SNX16	black	5.22724806573361	AdhdM1
SOX18	black	13.2337621902005	AdhdM1
SOX21	black	17.3097803314141	AdhdM1
SOX7	black	5.67986417748567	AdhdM1
SRGN	black	10.1271499455705	AdhdM1
ST6GALNAC5	black	6.95800154774863	AdhdM1
STOML2	black	15.9636571252595	AdhdM1
SUV39H1	black	15.8392385508345	AdhdM1
TAOK3	black	19.3925286362235	AdhdM1
TARS1	black	7.77513122684231	AdhdM1
TDP1	black	5.16993315625297	AdhdM1
TEPSIN	black	4.47938176644517	AdhdM1
TINAGL1	black	29.9316514477878	AdhdM1
TM2D2	black	5.94950682197126	AdhdM1
TMA7	black	6.63170863032224	AdhdM1
TMEM100	black	2.73210416544406	AdhdM1
TMEM128	black	4.79163534089872	AdhdM1
TMEM183A	black	29.8682308753873	AdhdM1
TMEM50B	black	7.02266690599111	AdhdM1
TMEM70	black	39.0027075084571	AdhdM1
TMSB4X	black	11.8555365442031	AdhdM1
TNR	black	7.89997361843435	AdhdM1
TOMM22	black	4.45509185499827	AdhdM1
TOR4A	black	3.15636061080038	AdhdM1
TOX4	black	11.653797029296	AdhdM1
TRAF3	black	31.4722923890967	AdhdM1
TRIM47	black	19.1245447891476	AdhdM1
TRIM8	black	25.6418878797684	AdhdM1
TRIP10	black	35.0471896190185	AdhdM1
TSFM	black	11.718843166189	AdhdM1
TTC26	black	16.0066753639022	AdhdM1
TUBA1B	black	26.2529642469363	AdhdM1
TUBB2A	black	36.3473172455159	AdhdM1
TUBB3	black	22.9643627642043	AdhdM1
TXN	black	21.009416251277	AdhdM1
UBAC1	black	2.78137548447397	AdhdM1
UBE2J2	black	26.8295983049454	AdhdM1
UFM1	black	2.86189465409622	AdhdM1
UQCRQ	black	21.9055820711259	AdhdM1
USHBP1	black	6.91782827101805	AdhdM1
VPS53	black	6.0746704429337	AdhdM1
WDR12	black	23.4017330836618	AdhdM1
WDR45B	black	12.9149069101814	AdhdM1
WDR61	black	25.8038266428656	AdhdM1
WDR74	black	6.63842226684454	AdhdM1
WDR82	black	2.57733808883784	AdhdM1
YWHAB	black	17.608211076004	AdhdM1
YWHAE	black	19.1241487292542	AdhdM1
ZBTB40	black	14.4361631138006	AdhdM1
ZDHHC24	black	11.7777497525143	AdhdM1
ZFAND3	black	6.98459839686613	AdhdM1
ZNF32	black	8.65422234009186	AdhdM1
ZNHIT2	black	3.69657550166136	AdhdM1
KIAA1841	blue	72.4846689119133	AdhdM2
NCBP2AS2	blue	112.984420982596	AdhdM2
C4orf54	blue	652.621147202392	AdhdM2
C9orf16	blue	719.049237453036	AdhdM2
C3orf80	blue	647.905983443355	AdhdM2
C5orf49	blue	467.900858764935	AdhdM2
C2orf81	blue	610.963095852046	AdhdM2
C17orf97	blue	256.194113176648	AdhdM2
C2orf88	blue	504.670155161618	AdhdM2
C1orf21	blue	170.196806893837	AdhdM2
C16orf90	blue	55.6585324414848	AdhdM2
C2orf69	blue	453.975780145906	AdhdM2
C11orf24	blue	492.341640545898	AdhdM2
C12orf43	blue	23.7585263924769	AdhdM2
KIAA0825	blue	8.61244063067383	AdhdM2
C19orf25	blue	148.222181005749	AdhdM2
KIAA1671	blue	321.769498259351	AdhdM2
C7orf50	blue	405.238793155542	AdhdM2
C14orf39	blue	189.405790183299	AdhdM2
C1orf216	blue	622.745454938156	AdhdM2
KIAA0513	blue	425.107160245959	AdhdM2
C1orf174	blue	71.9251653882798	AdhdM2
C8orf34	blue	479.388236901094	AdhdM2
AACS	blue	273.039944721236	AdhdM2
AAK1	blue	397.547107074076	AdhdM2
AARS2	blue	124.522629097936	AdhdM2
ABCA3	blue	15.4365042350598	AdhdM2
ABCA5	blue	23.0108209108695	AdhdM2
ABCC8	blue	180.805294284956	AdhdM2
ABCD2	blue	184.976767429145	AdhdM2
ABCF2-H2BE1	blue	134.956567798771	AdhdM2
ABCF2	blue	134.956567798771	AdhdM2
ABHD12	blue	676.022003623248	AdhdM2
ABHD13	blue	77.1807528255924	AdhdM2
ABHD16A	blue	65.0235229542555	AdhdM2
ABHD17A	blue	393.723534629333	AdhdM2
ABHD6	blue	232.768161004959	AdhdM2
ABHD8	blue	312.02368024898	AdhdM2
ABLIM1	blue	628.891717175299	AdhdM2
ABR	blue	278.677878294841	AdhdM2
ABTB1	blue	32.5077454983205	AdhdM2
ACAP3	blue	238.298141358541	AdhdM2
ACD	blue	176.561473388842	AdhdM2
ACKR1	blue	562.361976047149	AdhdM2
ACOT4	blue	451.566129008859	AdhdM2
ACOT9	blue	112.028845305343	AdhdM2
ACOX3	blue	157.989220523174	AdhdM2
ACSL4	blue	534.162487426275	AdhdM2
ACSL5	blue	734.63249950606	AdhdM2
ACTN4	blue	575.451294005372	AdhdM2
ACTR1A	blue	16.6192820933201	AdhdM2
ACTR1B	blue	666.488859138512	AdhdM2
ACTR3B	blue	214.670197036543	AdhdM2
ACTR3C	blue	214.670197036543	AdhdM2
ACYP1	blue	162.924198832465	AdhdM2
ADAM10	blue	266.923130723665	AdhdM2
ADAM18	blue	640.071650040521	AdhdM2
ADAMTS15	blue	329.770283784331	AdhdM2
ADAMTS8	blue	571.846428306584	AdhdM2
ADAMTSL2	blue	479.239292629835	AdhdM2
ADAP1	blue	656.93412950362	AdhdM2
ADCY1	blue	500.432810602184	AdhdM2
ADCY2	blue	498.976221844575	AdhdM2
ADCY9	blue	51.2795191834341	AdhdM2
ADCYAP1	blue	480.370334987543	AdhdM2
ADGRA1	blue	509.601704578285	AdhdM2
ADGRB2	blue	397.866585487144	AdhdM2
ADGRG6	blue	376.369865431025	AdhdM2
ADGRL1	blue	235.498473642892	AdhdM2
ADK	blue	246.289270845698	AdhdM2
ADORA1	blue	428.281510767854	AdhdM2
ADRA1A	blue	179.238860937221	AdhdM2
ADRA1B	blue	604.765850709161	AdhdM2
ADRB1	blue	567.764522420463	AdhdM2
ADRB3	blue	142.607639009163	AdhdM2
AFAP1L1	blue	563.087738263221	AdhdM2
AGBL4	blue	182.871154157868	AdhdM2
AGFG1	blue	317.441684296567	AdhdM2
AGTPBP1	blue	383.531030816194	AdhdM2
AHR	blue	551.470132886348	AdhdM2
C11orf68	blue	448.174451043871	AdhdM2
AIMP2	blue	301.382519336848	AdhdM2
AK1	blue	527.91538714095	AdhdM2
TAF9	blue	24.2442955712392	AdhdM2
AKAP7	blue	622.564594279429	AdhdM2
AKIRIN2	blue	197.641355546773	AdhdM2
AKT3	blue	454.047904097905	AdhdM2
ALDH1A3	blue	228.028519729777	AdhdM2
ALDH1A1	blue	558.296150842191	AdhdM2
ALDOA	blue	491.748050078842	AdhdM2
ALKAL1	blue	6.17563154869656	AdhdM2
ALKAL2	blue	356.04456989103	AdhdM2
ALOX12B	blue	356.241841563524	AdhdM2
AMIGO1	blue	243.050589441374	AdhdM2
AMN	blue	80.8870313185819	AdhdM2
AMPH	blue	398.308729479583	AdhdM2
ANGEL1	blue	245.604020249616	AdhdM2
ANGPT1	blue	263.010607753474	AdhdM2
ANKH	blue	604.139435579334	AdhdM2
ANKRD27	blue	485.51790547828	AdhdM2
ANKRD33B	blue	205.447303249528	AdhdM2
ANKRD34A	blue	616.703515490124	AdhdM2
ANKRD34C	blue	293.126424552053	AdhdM2
ANKRD9	blue	356.172644849281	AdhdM2
ANP32E	blue	26.414756127963	AdhdM2
ANXA7	blue	505.21097102811	AdhdM2
AOPEP	blue	40.2159389787838	AdhdM2
AP1S3	blue	294.718087869927	AdhdM2
AP2A1	blue	375.378910691158	AdhdM2
AP2M1	blue	476.656805498665	AdhdM2
AP2S1	blue	250.062855095062	AdhdM2
AP3M2	blue	474.158095454246	AdhdM2
AP3S1	blue	178.860381029627	AdhdM2
APBA1	blue	627.5580120263	AdhdM2
APBA2	blue	583.500774664633	AdhdM2
APBB1	blue	726.342905975805	AdhdM2
APC	blue	492.802514279978	AdhdM2
ARAP2	blue	372.581306939236	AdhdM2
ARF5	blue	124.865066152686	AdhdM2
ARFGAP1	blue	184.964961777505	AdhdM2
ARFIP2	blue	261.848054391231	AdhdM2
ARHGAP1	blue	299.156456762858	AdhdM2
ARHGAP15	blue	601.855884513687	AdhdM2
ARHGAP25	blue	462.151501005469	AdhdM2
ARHGAP26	blue	16.8708900235568	AdhdM2
ARHGAP32	blue	257.251519219688	AdhdM2
ARHGAP35	blue	322.364964296796	AdhdM2
ARHGAP42	blue	194.407042806772	AdhdM2
ARHGAP44	blue	557.325907836669	AdhdM2
ARHGDIA	blue	28.3010957259924	AdhdM2
ARHGDIG	blue	591.116575854592	AdhdM2
ARHGEF7	blue	544.75823057381	AdhdM2
ARL1	blue	310.909824281653	AdhdM2
ARL6IP5	blue	592.189126265828	AdhdM2
ARL8A	blue	380.097580361729	AdhdM2
ARMC1	blue	21.3878683611362	AdhdM2
ARMCX1	blue	154.414481068246	AdhdM2
ARMCX5	blue	14.6379936985461	AdhdM2
ARNTL	blue	29.9039640627487	AdhdM2
ARPC2	blue	13.2526103609557	AdhdM2
ARPC3	blue	409.646585985646	AdhdM2
ARPC4	blue	262.149456458646	AdhdM2
ARRB1	blue	201.559384248824	AdhdM2
ASAP1	blue	617.845107263762	AdhdM2
ASAP2	blue	479.430371247584	AdhdM2
ASB13	blue	520.149838023567	AdhdM2
ASIC2	blue	488.56306138385	AdhdM2
ASNS	blue	276.066401726158	AdhdM2
ATCAY	blue	499.100595773321	AdhdM2
ATF6	blue	296.445034031294	AdhdM2
ATG4C	blue	496.59511837639	AdhdM2
ATG9A	blue	183.874288703188	AdhdM2
ATL1	blue	544.790355391335	AdhdM2
ATMIN	blue	67.5613445096328	AdhdM2
ATOH7	blue	103.602712093728	AdhdM2
ATP1A1	blue	636.001761416418	AdhdM2
ATP1B1	blue	134.826223690868	AdhdM2
ATP2B4	blue	49.9337259558118	AdhdM2
ATP6AP1	blue	414.01096289052	AdhdM2
ATP6AP2	blue	391.323524574191	AdhdM2
ATP6V0A1	blue	636.905308112426	AdhdM2
ATP6V0B	blue	377.680114813913	AdhdM2
ATP6V0C	blue	454.934036408438	AdhdM2
ATP6V0D1	blue	615.280525576045	AdhdM2
ATP6V0E2	blue	391.007622161778	AdhdM2
ATP6V1A	blue	323.6025014709	AdhdM2
ATP6V1B2	blue	581.67957927413	AdhdM2
ATP6V1C1	blue	622.037337493505	AdhdM2
ATP6V1D	blue	596.705069119461	AdhdM2
ATP6V1E1	blue	678.614431656073	AdhdM2
ATP6V1F	blue	125.701117725879	AdhdM2
ATP6V1G2-DDX39B	blue	662.480318581555	AdhdM2
ATP6V1G2	blue	662.480318581555	AdhdM2
ATP6V1H	blue	165.772811944623	AdhdM2
ATP9A	blue	48.7764411275257	AdhdM2
ATP5IF1	blue	195.014420429756	AdhdM2
ATRNL1	blue	635.063219184454	AdhdM2
ATXN7L3	blue	543.565041654067	AdhdM2
C16orf89	blue	58.2016565490685	AdhdM2
AVEN	blue	39.1600618317531	AdhdM2
AZIN1	blue	470.053805214671	AdhdM2
AZIN2	blue	111.453716408098	AdhdM2
B3GALNT1	blue	540.019637742683	AdhdM2
B3GALT2	blue	576.218831873978	AdhdM2
B3GAT1	blue	624.516903664689	AdhdM2
B3GAT3	blue	445.557220021105	AdhdM2
B3GLCT	blue	178.706291269676	AdhdM2
B4GALNT1	blue	438.228455322937	AdhdM2
B4GALNT4	blue	169.729372990303	AdhdM2
B4GALT2	blue	505.558927913451	AdhdM2
B4GALT5	blue	27.6571610873147	AdhdM2
BAALC	blue	657.186122722509	AdhdM2
BAG1	blue	140.68394416721	AdhdM2
BAP1	blue	385.85099491526	AdhdM2
BARX2	blue	363.870654883942	AdhdM2
