GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
21	GO:0043625	0.0059039252875096	Inf	1.10911785352157	4	4	delta DNA polymerase complex	Pold1;Pold2;Pold3;Pold4	0.0168683579643132
22	GO:0000800	0.00739306617840618	7.83093829247675	2.21823570704313	6	8	lateral element	Blm;Brca1;Mei4;Rec8;Rpa1;Smc3	0.0201629077592896
23	GO:0022625	0.00777204334708392	2.07414964658101	14.4185320957804	23	52	cytosolic large ribosomal subunit	Mrpl1;Rpl10;Rpl11;Rpl13;Rpl14;Rpl17;Rpl18a;Rpl19;Rpl23a;Rpl24;Rpl26;Rpl27a;Rpl3;Rpl30;Rpl35a;Rpl36;Rpl36a;Rpl37a;Rpl6;Rpl7;Rpl8;Rpl9;Rps12	0.020274895688045
24	GO:0042575	0.00878100850139257	3.917089678511	4.15919195070587	9	15	DNA polymerase complex	Mad2l2;Pola1;Pold1;Pold2;Pold3;Pold4;Pole3;Prim1;Rev3l	0.0219525212534814
25	GO:0042175	0.0104565243452146	1.2730629877369	128.380391545121	151	463	nuclear outer membrane-endoplasmic reticulum membrane network	Abcd4;Alg11;Alg14;Alg8;Alg9;Amfr;Ankle2;Arv1;Arxes1;Arxes2;Atp13a4;Bcl2;Cant1;Canx;Cd4;Cept1;Cftr;Chpt1;Clmn;Cnep1r1;Cnih4;Creb3l2;Cyb5r3;Ddost;Ddrgk1;Derl1;Derl2;Derl3;Dgat1;Dgat2;Dnajb2;Dnajc18;Dpagt1;Dpm1;Dpm3;Edem1;Elovl1;Elovl5;Elovl6;Elovl7;Emc1;Emc10;Emc8;Epm2aip1;Erlin1;Erlin2;Esyt2;Esyt3;Faf1;Faf2;Ficd;Gnai3;Gpat3;Gramd1c;Gria1;H13;H2-Q2;Ilvbl;Itpr2;Lbr;Lman1;Lman2;Lman2l;Lmf1;Lmf2;Lpcat2;Lpcat3;Lss;Magt1;Msmo1;Myrf;Nat8;Nat8f1;Nos1;Notch1;Nucb2;Nup153;Nus1;Pdzd8;Piga;Pigc;Pigh;Pigk;Pign;Pigp;Pigs;Pigv;Pkd2;Pld1;Pld2;Pld6;Plpp3;Pomt1;Prkn;Psen1;Rab14;Reep3;Retreg1;Rft1;Rhbdd1;Rnf180;Rpn2;Rrbp1;Ryr3;Scd1;Scd2;Sec16a;Selenoi;Selenot;Sgms2;Sgpp2;Slc27a2;Slc37a1;Slc8a3;Soat1;Spcs1;Spcs2;Sppl2a;Sptlc1;Sptlc2;Sptlc3;Sptssa;Srpr;Ssr1;Ssr4;Stard3;Stim1;Stt3a;Svip;Syne3;Tapbp;Tbc1d20;Tex261;Tmbim6;Tmco1;Tmem39a;Tmem67;Tmem98;Tmtc2;Tmx3;Tram1l1;Trim13;Triqk;Ubxn7;Ufd1;Ufl1;Wfs1;Xpo1;Xxylt1;Yif1a;Zmpste24	0.0250956584285151
26	GO:0034399	0.011111229379671	1.63620199146515	28.8370641915607	40	104	nuclear periphery	Ahctf1;Akap8;Anapc4;Blm;Clic4;Dag1;Dgkq;Dnmt3a;Ebna1bp2;Fign;Hlcs;Hnrnpa2b1;Lbr;Lmnb1;Lmnb2;Mbd1;Ncor2;Nono;Numa1;Nup107;Nup153;Nup205;Nup35;Nup93;Ogg1;Pola1;Ppig;Prkcd;Prpf40a;Psip1;Runx1t1;Sf3b1;Sfpq;Smc3;Sorbs1;Sparc;Srrm1;Stag1;Stag2;Tpr	0.0256412985684716
27	GO:0035327	0.0117963590759484	3.26445698166432	4.99103034084705	10	18	transcriptionally active chromatin	Aff4;Ell;Exosc3;Exosc5;Ice2;Kmt2e;Padi2;Pelp1;Psip1;Ttc37	0.0262141312798854
28	GO:0043601	0.0145072666624896	2.87291196388262	5.82286873098822	11	21	nuclear replisome	E2f6;Plrg1;Pola1;Pold1;Pold2;Pold3;Pold4;Prim1;Rpa1;Smarcal1;Xpa	0.0303213172319982
29	GO:0097431	0.0146553033287991	2.4383695754495	8.04110443803135	14	29	mitotic spindle pole	Cdk5rap2;Cntrl;Eml1;Fam161a;Fam83d;Mad1l1;Map10;Nsmce1;Numa1;Rmdn1;Smc3;Stag1;Stag2;Tnks	0.0303213172319982
30	GO:0000793	0.0159304405336865	1.59484321672355	28.5597847281803	39	103	condensed chromosome	Ago3;Ahctf1;Akap8;Baz1b;Blm;Bod1l;Brca1;Brd4;Cenpc1;Champ1;H2ax;Hjurp;Hmbs;Hmgb2;Kmt5b;Lig3;Lrpprc;Macroh2a1;Mei4;Mki67;Mlh3;Mre11a;Ncaph;Nsmce1;Nuf2;Rad9a;Rad9b;Rec8;Rif1;Rpa1;Rsph1;Smarca5;Smc3;Smc5;Stag1;Stag2;Sun2;Top2a;Top3b	0.0318445957665741
