GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
61	GO:0008131	0.0127034710166876	91.7336956521739	0.0127727514635444	1	9	primary methylamine oxidase activity	VCAM1	0.0468570652254869
62	GO:0015658	0.0141053830209233	81.536231884058	0.0141919460706049	1	10	branched-chain amino acid transmembrane transporter activity	SLC6A20	0.0495892371829336
63	GO:0030023	0.0141053830209233	81.536231884058	0.0141919460706049	1	10	extracellular matrix constituent conferring elasticity	ELN	0.0495892371829336
64	GO:0031996	0.0141053830209233	81.536231884058	0.0141919460706049	1	10	thioesterase binding	TRAF3	0.0495892371829336
65	GO:0015297	0.0151308616101865	11.6280360860514	0.188752882739046	2	133	antiporter activity	SLC22A6;SLC22A8	0.0520703301844079
66	GO:0022857	0.0152879788908013	3.92924528301887	1.51144225651943	5	1065	transmembrane transporter activity	SLC13A4;SLC22A6;SLC22A8;SLC6A13;SLC6A20	0.0520703301844079
67	GO:0008271	0.0155053872104681	73.3782608695652	0.0156111406776654	1	11	secondary active sulfate transmembrane transporter activity	SLC13A4	0.0520703301844079
68	GO:0097493	0.0169034860688677	66.703557312253	0.0170303352847259	1	12	structural molecule activity conferring elasticity	ELN	0.0559306524337535
69	GO:0015651	0.0182996820765806	61.1413043478261	0.0184495298917864	1	13	quaternary ammonium group transmembrane transporter activity	SLC6A20	0.0588204066747234
70	GO:0031994	0.0182996820765806	61.1413043478261	0.0184495298917864	1	13	insulin-like growth factor I binding	IGFBP2	0.0588204066747234
71	GO:0031404	0.0196939777109852	56.4347826086956	0.0198687244988469	1	14	chloride ion binding	SLC22A6	0.06241049274608
72	GO:0015116	0.0210863754463781	52.4006211180124	0.0212879191059074	1	15	sulfate transmembrane transporter activity	SLC13A4	0.0648371473672583
73	GO:0140161	0.0210863754463781	52.4006211180124	0.0212879191059074	1	15	monocarboxylate:sodium symporter activity	SLC6A13	0.0648371473672583
74	GO:0005215	0.0224400157970493	3.53833686011436	1.66613446868902	5	1174	transporter activity	SLC13A4;SLC22A6;SLC22A8;SLC6A13;SLC6A20	0.0648371473672583
75	GO:0004029	0.0224768777539829	48.904347826087	0.0227071137129679	1	16	aldehyde dehydrogenase (NAD+) activity	ALDH1A2	0.0648371473672583
