GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
131	GO:0016491	0.0720005927501628	3.37893639207508	0.976405889657619	3	688	oxidoreductase activity	ALDH1A2;SMOX;VCAM1	0.123665140219745
132	GO:0016504	0.0765707133100484	13.3059288537549	0.0794748979953876	1	56	peptidase activator activity	FN1	0.130518261323946
133	GO:0015075	0.0793707308775934	3.2358943577431	1.01756253326237	3	717	monoatomic ion transmembrane transporter activity	SLC13A4;SLC6A13;SLC6A20	0.134273792838034
134	GO:0015179	0.0870396422655041	11.6107660455487	0.0908284548518716	1	64	L-amino acid transmembrane transporter activity	SLC6A20	0.146148653057749
135	GO:0098631	0.0922313593918705	10.914990266061	0.0965052332801135	1	68	cell adhesion mediator activity	VCAM1	0.153718932319784
136	GO:0097110	0.0948165961339023	10.5973534971645	0.0993436224942345	1	70	scaffold protein binding	FYN	0.156865692133294
137	GO:0008028	0.0961065671387584	10.4453416149068	0.100762817101295	1	71	monocarboxylic acid transmembrane transporter activity	SLC6A13	0.157839252600151
138	GO:0004857	0.10144907557263	3.94904306220096	0.542132339897108	2	382	enzyme inhibitor activity	IGFBP2;SERPINH1	0.165406101477114
139	GO:0030165	0.105087161441396	9.4918125352908	0.110697179350718	1	78	PDZ domain binding	FZD7	0.168890080887958
140	GO:0033293	0.105087161441396	9.4918125352908	0.110697179350718	1	78	monocarboxylic acid binding	FABP7	0.168890080887958
141	GO:0046332	0.106363102041729	9.3695652173913	0.112116373957779	1	79	SMAD binding	COL3A1	0.169728354321908
142	GO:0015101	0.107637299139579	9.2504127682994	0.113535568564839	1	80	organic cation transmembrane transporter activity	SLC6A20	0.170552058495811
143	GO:0019888	0.120283877446162	8.20615534929165	0.127727514635444	1	90	protein phosphatase regulator activity	IGFBP2	0.189257849128577
